Name,X,Y,Target,Layer,Sublayer,row,column,GlobalNode,ActiveNode,Weight,Group,Layer2,Minimum,Maximum,Component,Type,Layer_Elevation,Time
EF-3A,2274132.874014,10431783.236983,6500.930000,12,1,220,45,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6395.430500,2780.000000
EF-3A,2274132.874014,10431783.236983,6500.850000,12,1,220,45,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6395.430500,3062.000000
EF-3A,2274132.874014,10431783.236983,6502.360000,12,1,220,45,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6395.430500,3515.000000
EF-3A,2274132.874014,10431783.236983,6503.090000,12,1,220,45,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6395.430500,3852.000000
EF-3A,2274132.874014,10431783.236983,6503.310000,12,1,220,45,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6395.430500,4150.000000
EF-3A,2274132.874014,10431783.236983,6504.080000,12,1,220,45,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6395.430500,4525.000000
EF-3A,2274132.874014,10431783.236983,6505.720000,12,1,220,45,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6395.430500,4882.000000
EF-3A,2274132.874014,10431783.236983,6505.990000,12,1,220,45,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6395.430500,5304.000000
EF-3A,2274132.874014,10431783.236983,6506.540000,12,1,220,45,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6395.430500,5708.000000
EF-3A,2274132.874014,10431783.236983,6507.510000,12,1,220,45,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6395.430500,5982.000000
EF-3A,2274132.874014,10431783.236983,6507.530000,12,1,220,45,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6395.430500,6281.000000
EF-6,2273242.691232,10433120.857663,6470.460000,12,1,204,48,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6428.064500,197.000000
EF-6,2273242.691232,10433120.857663,6469.300000,12,1,204,48,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6428.064500,518.000000
EF-6,2273242.691232,10433120.857663,6474.730000,12,1,204,48,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6428.064500,880.000000
EF-6,2273242.691232,10433120.857663,6479.740000,12,1,204,48,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6428.064500,1298.000000
EF-6,2273242.691232,10433120.857663,6484.240000,12,1,204,48,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6428.064500,1540.000000
EF-6,2273242.691232,10433120.857663,6489.070000,12,1,204,48,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6428.064500,1972.000000
EF-6,2273242.691232,10433120.857663,6492.880000,12,1,204,48,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6428.064500,2394.000000
EF-6,2273242.691232,10433120.857663,6497.480000,12,1,204,48,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6428.064500,2780.000000
EF-6,2273242.691232,10433120.857663,6498.080000,12,1,204,48,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6428.064500,3063.000000
EF-6,2273242.691232,10433120.857663,6499.660000,12,1,204,48,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6428.064500,3515.000000
EF-6,2273242.691232,10433120.857663,6499.910000,12,1,204,48,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6428.064500,3853.000000
EF-6,2273242.691232,10433120.857663,6500.390000,12,1,204,48,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6428.064500,4150.000000
EF-6,2273242.691232,10433120.857663,6501.950000,12,1,204,48,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6428.064500,4525.000000
EF-6,2273242.691232,10433120.857663,6502.780000,12,1,204,48,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6428.064500,4882.000000
EF-6,2273242.691232,10433120.857663,6503.590000,12,1,204,48,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6428.064500,5259.000000
EF-6,2273242.691232,10433120.857663,6503.310000,12,1,204,48,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6428.064500,5711.000000
EF-6,2273242.691232,10433120.857663,6504.650000,12,1,204,48,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6428.064500,5982.000000
EF-6,2273242.691232,10433120.857663,6504.410000,12,1,204,48,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6428.064500,6363.000000
EF-8,2273450.848064,10432071.060857,6466.400000,12,1,213,42,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6346.471500,518.000000
EF-8,2273450.848064,10432071.060857,6472.380000,12,1,213,42,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6346.471500,880.000000
EF-8,2273450.848064,10432071.060857,6479.610000,12,1,213,42,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6346.471500,1298.000000
EF-8,2273450.848064,10432071.060857,6484.960000,12,1,213,42,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6346.471500,1540.000000
EF-8,2273450.848064,10432071.060857,6490.310000,12,1,213,42,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6346.471500,1973.000000
EF-8,2273450.848064,10432071.060857,6494.480000,12,1,213,42,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6346.471500,2394.000000
EF-8,2273450.848064,10432071.060857,6500.280000,12,1,213,42,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6346.471500,2779.000000
EF-8,2273450.848064,10432071.060857,6500.110000,12,1,213,42,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6346.471500,3062.000000
EF-8,2273450.848064,10432071.060857,6501.510000,12,1,213,42,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6346.471500,3540.000000
EF-8,2273450.848064,10432071.060857,6501.860000,12,1,213,42,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6346.471500,3826.000000
EF-8,2273450.848064,10432071.060857,6502.410000,12,1,213,42,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6346.471500,4193.000000
EF-8,2273450.848064,10432071.060857,6503.370000,12,1,213,42,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6346.471500,4574.000000
EF-8,2273450.848064,10432071.060857,6505.170000,12,1,213,42,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6346.471500,4945.000000
EF-8,2273450.848064,10432071.060857,6505.350000,12,1,213,42,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6346.471500,5303.000000
EF-8,2273450.848064,10432071.060857,6505.520000,12,1,213,42,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6346.471500,5669.000000
EF-8,2273450.848064,10432071.060857,6506.700000,12,1,213,42,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6346.471500,5992.000000
EF-8,2273450.848064,10432071.060857,6506.650000,12,1,213,42,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6346.471500,6281.000000
H-63,2277890.919369,10430706.025055,6550.850000,12,1,254,64,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6533.626000,297.000000
H-63,2277890.919369,10430706.025055,6549.540000,12,1,254,64,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6533.626000,502.000000
H-63,2277890.919369,10430706.025055,6550.240000,12,1,254,64,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6533.626000,880.000000
H-63,2277890.919369,10430706.025055,6550.860000,12,1,254,64,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6533.626000,1298.000000
H-63,2277890.919369,10430706.025055,6553.330000,12,1,254,64,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6533.626000,1540.000000
H-63,2277890.919369,10430706.025055,6551.560000,12,1,254,64,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6533.626000,1972.000000
H-63,2277890.919369,10430706.025055,6552.340000,12,1,254,64,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6533.626000,2393.000000
H-63,2277890.919369,10430706.025055,6553.900000,12,1,254,64,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6533.626000,2779.000000
H-63,2277890.919369,10430706.025055,6551.230000,12,1,254,64,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6533.626000,3062.000000
H-63,2277890.919369,10430706.025055,6550.570000,12,1,254,64,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6533.626000,3515.000000
H-63,2277890.919369,10430706.025055,6551.530000,12,1,254,64,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6533.626000,3853.000000
H-63,2277890.919369,10430706.025055,6551.900000,12,1,254,64,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6533.626000,4150.000000
H-63,2277890.919369,10430706.025055,6550.840000,12,1,254,64,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6533.626000,4525.000000
H-63,2277890.919369,10430706.025055,6552.200000,12,1,254,64,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6533.626000,4883.000000
H-63,2277890.919369,10430706.025055,6548.450000,12,1,254,64,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6533.626000,5260.000000
H-63,2277890.919369,10430706.025055,6552.150000,12,1,254,64,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6533.626000,5708.000000
H-63,2277890.919369,10430706.025055,6553.840000,12,1,254,64,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6533.626000,5983.000000
H-63,2277890.919369,10430706.025055,6551.830000,12,1,254,64,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6533.626000,6283.000000
LW-1,2276909.102418,10436840.126037,6577.470000,12,1,204,100,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6505.179500,1297.000000
LW-1,2276909.102418,10436840.126037,6578.900000,12,1,204,100,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6505.179500,1540.000000
LW-1,2276909.102418,10436840.126037,6578.840000,12,1,204,100,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6505.179500,1971.000000
LW-1,2276909.102418,10436840.126037,6578.860000,12,1,204,100,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6505.179500,2393.000000
LW-1,2276909.102418,10436840.126037,6580.020000,12,1,204,100,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6505.179500,2778.000000
LW-1,2276909.102418,10436840.126037,6578.590000,12,1,204,100,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6505.179500,3061.000000
LW-1,2276909.102418,10436840.126037,6578.900000,12,1,204,100,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6505.179500,3515.000000
LW-1,2276909.102418,10436840.126037,6578.800000,12,1,204,100,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6505.179500,3853.000000
LW-1,2276909.102418,10436840.126037,6578.120000,12,1,204,100,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6505.179500,4150.000000
LW-1,2276909.102418,10436840.126037,6577.940000,12,1,204,100,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6505.179500,4524.000000
LW-1,2276909.102418,10436840.126037,6577.400000,12,1,204,100,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6505.179500,4883.000000
LW-1,2276909.102418,10436840.126037,6576.730000,12,1,204,100,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6505.179500,5260.000000
LW-1,2276909.102418,10436840.126037,6576.560000,12,1,204,100,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6505.179500,5708.000000
LW-1,2276909.102418,10436840.126037,6575.870000,12,1,204,100,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6505.179500,5981.000000
LW-1,2276909.102418,10436840.126037,6575.750000,12,1,204,100,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6505.179500,6285.000000
ML-1,2271695.632265,10434005.693442,6483.500000,12,1,187,44,1,1,1.000000,1,0,0.000000,0.000000,1,Head,6382.524500,195.000000
