parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,extra,partied
dr0_s41,tied,factor,6238.259,6233.259,6243.259,pargp,1.0,0.0,1,,dr0_s1
dr0_s42,tied,factor,6242.779,6237.779,6247.779,pargp,1.0,0.0,1,,dr0_s1
dr0_s43,tied,factor,6250.293,6245.293,6255.293,pargp,1.0,0.0,1,,dr0_s1
dr0_s44,tied,factor,6257.039,6252.039,6262.039,pargp,1.0,0.0,1,,dr0_s1
dr0_s45,tied,factor,6272.677,6267.677,6277.677,pargp,1.0,0.0,1,,dr0_s1
dr0_s46,tied,factor,6266.984,6261.984,6271.984,pargp,1.0,0.0,1,,dr0_s1
dr0_s47,tied,factor,6264.688,6259.688,6269.688,pargp,1.0,0.0,1,,dr0_s1
dr0_s48,tied,factor,6277.782,6272.782,6282.782,pargp,1.0,0.0,1,,dr0_s1
dr0_s49,tied,factor,6274.29,6269.29,6279.29,pargp,1.0,0.0,1,,dr0_s1
dr0_s50,tied,factor,6283.646,6278.646,6288.646,pargp,1.0,0.0,1,,dr0_s1
dr0_s51,tied,factor,6306.0,6301.0,6311.0,pargp,1.0,0.0,1,,dr0_s1
dr0_s52,tied,factor,6305.32,6300.32,6310.32,pargp,1.0,0.0,1,,dr0_s1
dr0_s53,tied,factor,6346.99,6341.99,6351.99,pargp,1.0,0.0,1,,dr0_s1
dr0_s54,tied,factor,6350.605,6345.605,6355.605,pargp,1.0,0.0,1,,dr0_s1
dr0_s55,tied,factor,6339.759,6334.759,6344.759,pargp,1.0,0.0,1,,dr0_s1
dr0_s56,tied,factor,6312.065,6307.065,6317.065,pargp,1.0,0.0,1,,dr0_s1
dr0_s57,tied,factor,6319.922,6314.922,6324.922,pargp,1.0,0.0,1,,dr0_s1
dr0_s58,tied,factor,6334.0,6329.0,6339.0,pargp,1.0,0.0,1,,dr0_s1
dr0_s59,tied,factor,6340.682,6335.682,6345.682,pargp,1.0,0.0,1,,dr0_s1
dr0_s60,tied,factor,6346.605,6341.605,6351.605,pargp,1.0,0.0,1,,dr0_s1
dr0_s61,tied,factor,6358.982,6353.982,6363.982,pargp,1.0,0.0,1,,dr0_s1
dr0_s62,tied,factor,6363.058,6358.058,6368.058,pargp,1.0,0.0,1,,dr0_s1
dr0_s63,tied,factor,6374.489,6369.489,6379.489,pargp,1.0,0.0,1,,dr0_s1
dr0_s64,tied,factor,6390.591,6385.591,6395.591,pargp,1.0,0.0,1,,dr0_s1
dr0u20,tied,factor,6320.626,6315.626,6325.626,pargp,1.0,0.0,1,,dr0_s1
dr0u21,tied,factor,6320.605,6315.605,6325.605,pargp,1.0,0.0,1,,dr0_s1
dr0u22,tied,factor,6322.883,6317.883,6327.883,pargp,1.0,0.0,1,,dr0_s1
dr0u23,tied,factor,6349.895,6344.895,6354.895,pargp,1.0,0.0,1,,dr0_s1
dr0u24,tied,factor,6360.167,6355.167,6365.167,pargp,1.0,0.0,1,,dr0_s1
dr0u25,tied,factor,6361.749,6356.749,6366.749,pargp,1.0,0.0,1,,dr0_s1
dr0u26,tied,factor,6360.631,6355.631,6365.631,pargp,1.0,0.0,1,,dr0_s1
dr0u27,tied,factor,6363.19,6358.19,6368.19,pargp,1.0,0.0,1,,dr0_s1
dr0u28,tied,factor,6362.143,6357.143,6367.143,pargp,1.0,0.0,1,,dr0_s1
dr0u29,tied,factor,6364.044,6359.044,6369.044,pargp,1.0,0.0,1,,dr0_s1
dr0u30,tied,factor,6372.369,6367.369,6377.369,pargp,1.0,0.0,1,,dr0_s1
dr0u31,tied,factor,6378.368,6373.368,6383.368,pargp,1.0,0.0,1,,dr0_s1
dr0u32,tied,factor,6387.034,6382.034,6392.034,pargp,1.0,0.0,1,,dr0_s1
dr0u33,tied,factor,6396.57,6391.57,6401.57,pargp,1.0,0.0,1,,dr0_s1
dr0u34,tied,factor,6402.439,6397.439,6407.439,pargp,1.0,0.0,1,,dr0_s1
dr0u35,tied,factor,6404.674,6399.674,6409.674,pargp,1.0,0.0,1,,dr0_s1
dr0u36,tied,factor,6402.712,6397.712,6407.712,pargp,1.0,0.0,1,,dr0_s1
dr0u37,tied,factor,6413.432,6408.432,6418.432,pargp,1.0,0.0,1,,dr0_s1
dr0u38,tied,factor,6435.758,6430.758,6440.758,pargp,1.0,0.0,1,,dr0_s1
dr0_s65,tied,factor,6391.677,6386.677,6396.677,pargp,1.0,0.0,1,,dr0_s1
dr0_s66,tied,factor,6385.37,6380.37,6390.37,pargp,1.0,0.0,1,,dr0_s1
dr0_s67,tied,factor,6381.687,6376.687,6386.687,pargp,1.0,0.0,1,,dr0_s1
dr0_s68,tied,factor,6381.997,6376.997,6386.997,pargp,1.0,0.0,1,,dr0_s1
dr0_s69,tied,factor,6387.044,6382.044,6392.044,pargp,1.0,0.0,1,,dr0_s1
dr0_s70,tied,factor,6390.332,6385.332,6395.332,pargp,1.0,0.0,1,,dr0_s1
dr0_s71,tied,factor,6391.484,6386.484,6396.484,pargp,1.0,0.0,1,,dr0_s1
dr0_s72,tied,factor,6391.808,6386.808,6396.808,pargp,1.0,0.0,1,,dr0_s1
dr0_s73,tied,factor,6392.128,6387.128,6397.128,pargp,1.0,0.0,1,,dr0_s1
dr0_s74,tied,factor,6392.127,6387.127,6397.127,pargp,1.0,0.0,1,,dr0_s1
dr0_s75,tied,factor,6394.74,6389.74,6399.74,pargp,1.0,0.0,1,,dr0_s1
dr0_s76,tied,factor,6394.364,6389.364,6399.364,pargp,1.0,0.0,1,,dr0_s1
dr0_s77,tied,factor,6392.127,6387.127,6397.127,pargp,1.0,0.0,1,,dr0_s1
dr0_s78,tied,factor,6373.755,6368.755,6378.755,pargp,1.0,0.0,1,,dr0_s1
dr0_s79,tied,factor,6373.755,6368.755,6378.755,pargp,1.0,0.0,1,,dr0_s1
dr0_s80,tied,factor,6373.755,6368.755,6378.755,pargp,1.0,0.0,1,,dr0_s1
dr0_s81,tied,factor,6373.752,6368.752,6378.752,pargp,1.0,0.0,1,,dr0_s1
dr0_s82,tied,factor,6373.796,6368.796,6378.796,pargp,1.0,0.0,1,,dr0_s1
dr0_s83,tied,factor,6373.755,6368.755,6378.755,pargp,1.0,0.0,1,,dr0_s1
dr0_s84,tied,factor,6373.755,6368.755,6378.755,pargp,1.0,0.0,1,,dr0_s1
dr0_s85,tied,factor,6373.755,6368.755,6378.755,pargp,1.0,0.0,1,,dr0_s1
dr0_s86,tied,factor,6373.755,6368.755,6378.755,pargp,1.0,0.0,1,,dr0_s1
dr0_s87,tied,factor,6383.819,6378.819,6388.819,pargp,1.0,0.0,1,,dr0_s1
dr0_s88,tied,factor,6395.759,6390.759,6400.759,pargp,1.0,0.0,1,,dr0_s1
dr0_s89,tied,factor,6395.417,6390.417,6400.417,pargp,1.0,0.0,1,,dr0_s1
