obsnme,obsval,weight,obgnme,extra
ucon_usecol:kper:065_name:ef-3a_k:11_j:219_k:44,96.55434,1.0,obgnme,
ucon_usecol:kper:066_name:ef-3a_k:11_j:219_k:44,96.30234,1.0,obgnme,
ucon_usecol:kper:067_name:ef-3a_k:11_j:219_k:44,96.019615,1.0,obgnme,
ucon_usecol:kper:068_name:ef-3a_k:11_j:219_k:44,95.71235,1.0,obgnme,
ucon_usecol:kper:069_name:ef-3a_k:11_j:219_k:44,95.383125,1.0,obgnme,
ucon_usecol:kper:070_name:ef-3a_k:11_j:219_k:44,95.03739,1.0,obgnme,
ucon_usecol:kper:071_name:ef-3a_k:11_j:219_k:44,94.67616,1.0,obgnme,
ucon_usecol:kper:072_name:ef-3a_k:11_j:219_k:44,94.31523,1.0,obgnme,
ucon_usecol:kper:073_name:ef-3a_k:11_j:219_k:44,93.94909,1.0,obgnme,
ucon_usecol:kper:074_name:ef-3a_k:11_j:219_k:44,93.57329,1.0,obgnme,
ucon_usecol:kper:075_name:ef-3a_k:11_j:219_k:44,93.18854,1.0,obgnme,
ucon_usecol:kper:076_name:ef-3a_k:11_j:219_k:44,92.793594,1.0,obgnme,
ucon_usecol:kper:077_name:ef-3a_k:11_j:219_k:44,92.39813,1.0,obgnme,
ucon_usecol:kper:078_name:ef-3a_k:11_j:219_k:44,92.00504,1.0,obgnme,
ucon_usecol:kper:079_name:ef-3a_k:11_j:219_k:44,91.61398,1.0,obgnme,
ucon_usecol:kper:080_name:ef-3a_k:11_j:219_k:44,91.23122,1.0,obgnme,
ucon_usecol:kper:081_name:ef-3a_k:11_j:219_k:44,90.85873,1.0,obgnme,
ucon_usecol:kper:082_name:ef-3a_k:11_j:219_k:44,87.5252,1.0,obgnme,
ucon_usecol:kper:083_name:ef-3a_k:11_j:219_k:44,84.11482,1.0,obgnme,
ucon_usecol:kper:084_name:ef-3a_k:11_j:219_k:44,81.3866,1.0,obgnme,
ucon_usecol:kper:085_name:ef-3a_k:11_j:219_k:44,78.980576,1.0,obgnme,
ucon_usecol:kper:086_name:ef-3a_k:11_j:219_k:44,76.7689,1.0,obgnme,
ucon_usecol:kper:087_name:ef-3a_k:11_j:219_k:44,75.179886,1.0,obgnme,
ucon_usecol:kper:088_name:ef-3a_k:11_j:219_k:44,73.68869,1.0,obgnme,
ucon_usecol:kper:089_name:ef-3a_k:11_j:219_k:44,72.46565,1.0,obgnme,
ucon_usecol:kper:090_name:ef-3a_k:11_j:219_k:44,71.44222,1.0,obgnme,
ucon_usecol:kper:091_name:ef-3a_k:11_j:219_k:44,70.34113,1.0,obgnme,
ucon_usecol:kper:000_name:ef-6_k:9_j:203_k:47,10.343697,1.0,obgnme,
ucon_usecol:kper:001_name:ef-6_k:9_j:203_k:47,7.75378,1.0,obgnme,
ucon_usecol:kper:002_name:ef-6_k:9_j:203_k:47,7.9407077,1.0,obgnme,
ucon_usecol:kper:003_name:ef-6_k:9_j:203_k:47,9.322205,1.0,obgnme,
ucon_usecol:kper:004_name:ef-6_k:9_j:203_k:47,11.494259,1.0,obgnme,
ucon_usecol:kper:005_name:ef-6_k:9_j:203_k:47,13.957789,1.0,obgnme,
ucon_usecol:kper:006_name:ef-6_k:9_j:203_k:47,16.28129,1.0,obgnme,
ucon_usecol:kper:007_name:ef-6_k:9_j:203_k:47,18.23864,1.0,obgnme,
ucon_usecol:kper:008_name:ef-6_k:9_j:203_k:47,19.808096,1.0,obgnme,
ucon_usecol:kper:009_name:ef-6_k:9_j:203_k:47,21.022848,1.0,obgnme,
ucon_usecol:kper:010_name:ef-6_k:9_j:203_k:47,21.977472,1.0,obgnme,
ucon_usecol:kper:011_name:ef-6_k:9_j:203_k:47,22.777058,1.0,obgnme,
ucon_usecol:kper:012_name:ef-6_k:9_j:203_k:47,23.67184,1.0,obgnme,
ucon_usecol:kper:013_name:ef-6_k:9_j:203_k:47,24.6873,1.0,obgnme,
